text,label
ngantuk berat tarik selimut,negative
mengakui akun fufufafa miliknya meminta maaf terkait muda hallooo bagaimana  dimaafkan  bgmn layak  memimpin nkri,negative
cc  fyi pak prabowo harusnya bijaksana mengambil keputusan politik  perut rakyat gak dibohongin pak  kalo laper bunyi lemes sakit pak  jgn dibohongin dgn politik wakil jgn gibran puan  rakyat butuh hidup tenang adil sejahtera semoga aja,negative
fufufafa jadi wapress  kalau pak prabowo sakit  yakin mau pimpin fufufafa,positive
gibran jadi wapres negeri dg 275jt penduduk sangat aneh      siap2 5th depan menghadapi kelakuan pejabat aparat negara yg jauh lebih aneh safam fufufafa,neutral
pasukan bawah tanah jokowi yg melaporkan roy suryo sebut gibran lambang negara makanya lindungi,negative
segera ganji gibran alias fufufafa,negative
bisnis cuci mencuci sepeinya kalau kering angkat kalau bersih bereskan,positive
sama halnya sepei timnas dunia politik indonesia potong generasi,positive
akang raffi temennya mas  teh mau jadi minister naon nyak,neutral
lo pantesnya ngajarin kaesang gibran ted    sama2 tololnya,negative
pemerhati hukum  gibran sekarang jabatannya apa  tanggal 20 oktober jabatannya apa,neutral
benar prabowo gibran sering jalan bersama adakan peemuan membahas persiapan susunan kabinet  iya engga,neutral
nunggu si  selesai hapus hapus post bukti akun fufufafa baru   gerak terus bilang informasi fufufafa yg beredar hoax,negative
orang dungu otj dipantat,negative
selamat pagi pak  selamat pagi pak  selamat pagi  selamat pagi,neutral
gibran ikuti gaya bpkne asal mangap dulu bpkne jg bilang 10 jt tp blas gak da apa malah yg meledak tka china,neutral
sebenernya bentuk kejengkelan gibran isu private jet olah tegar menghadapi isu tsb padahal jengkel mangkanya bilang gitu acara psi fakta psikologis,neutral
diskusi utk menggagalkan pelantikan gibran dg bermacam cara  lewat jalur hukum lewat kerusuhan provokasi rakyat adu domba ps cv gibran sdh dilakukan ttp gagal  adu domba ps vc jkw sdh lebih gagal   jalan terakhir menggagalkan pelantikan gibran,negative
lu kali yg mnjijikkan  semua org tau klo cuitan gibran bkn kejahatan tp non etika yg uda akut  emngnya negara mana yg mau dipimpin org yg low attitude berai bener fufufafa gibran,negative
mau kepuasan nya 1000  tetep aje bentar lengser,positive
halu,negative
si tolol msh percaya chat mesum hoax,negative
gibran beler wkwk,positive
mulyono mati prabowo mati gibran mati ga bikin dagangan laku,negative
kalo ga bapaknya cuma mas2 pengangguran beban keluarga doang bjir wkwkwk,neutral
mungkin mas gibran dpt gelar jga nyusul,positive
gibran jg tngh r,positive
gw diem mulyono bukan siapa siapa dikadin ikut campur tangan bro,neutral
pak jokowi tengah menyalahkan kebijakanya bapaknya gibran,negative
ciunis lokal macam ceperan berapa duit sirewel utk sekali tuit,negative
memang diadopsi bahasa melayu dagang  bahasa perdagangan yg sederhana mudah dipelajari semua orang  sayangnya kultur bangsa bukan bangsa dagang  jadi gak nyambung,positive
wkwkw bocahbri lu udh mrsa tua nah knp tdk ikut mendfatr pilpres buktiin klo cm nyinyir doank sia sia tuh,negative
penanganan covid 19 cepat tepat salute   jokowibaktiuntuknegeri,positive
dulu gibran selalu dihina  eh g dihina2 malah melambung tinggi,negative
jadi gini benar sekali benar fufufafa gibran mau ditaro muka bangsa besar mata dunia   kelen pikir dunia internasional engga tahu siapa fufufafa,negative
27 november pdip makin nyungsep,neutral
buktinya yg kasihan pakde gagal maning semua uu pilkada gagal pkb mau dikerjain gagal buzzer nya sibuk cebok terus kwkwkkwk,negative
bentar pakde selesai pdip beahan  usaha menghancurkan pdip gila2 an eh tegar berdiri baru sebentar pdip berbeda udah turun aja tuh kemampuan pakde buzzer sibuk cebok terus kwkwkwk,neutral
