conversation_id_str,created_at,favorite_count,text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1840534326746010071,Sun Sep 29 23:29:13 +0000 2024,0,ngantuk berat tarik selimut,1840534326746010071,,,in,,0,0,0,https://x.com/0XalinggaGibran/status/1840534326746010071,1799405747102777345,0XalinggaGibran
1840534301370425845,Sun Sep 29 23:29:07 +0000 2024,0,mengakui akun fufufafa miliknya meminta maaf terkait itu muda hallooo bagaimana  dimaafkan  bgmn masih layak  memimpin nkri,1840534301370425845,,gibran,in,,0,0,0,https://x.com/ENS53311139/status/1840534301370425845,1168102826624483329,ENS53311139
1840533996327120918,Sun Sep 29 23:27:54 +0000 2024,0,cc  fyi pak prabowo harusnya bijaksana mengambil keputusan politik  perut rakyat gak dibohongin pak  kalo laper bunyi lemes sakit pak  jgn dibohongin dgn politik wakil jgn gibran puan  rakyat butuh hidup tenang adil sejahtera semoga aja,1840533996327120918,,,in,Jakarta Capital Region,0,0,0,https://x.com/saerozi63/status/1840533996327120918,1638596282012028930,saerozi63
1840172992380449177,Sun Sep 29 23:27:52 +0000 2024,0,fufufafa jadi wapress  kalau pak prabowo sakit  yakin mau pimpin fufufafa,1840533986961179022,,gtobing2903,in,Jogjakarta,0,0,0,https://x.com/yudhikura/status/1840533986961179022,131352298,yudhikura
1840365370311594494,Sun Sep 29 23:26:57 +0000 2024,1,gibran jadi wapres negeri dg 275jt penduduk sudah sangat aneh      siap2 5th depan menghadapi kelakuan pejabat aparat negara yg jauh lebih aneh safam fufufafa,1840533756303880359,,HeryIdris5,in,"Kota Bogor, West Java",0,0,0,https://x.com/wong_clayten/status/1840533756303880359,3139555602,wong_clayten
1840533655787368880,Sun Sep 29 23:26:33 +0000 2024,0,pasukan bawah tanah jokowi yg melaporkan roy suryo sebut gibran lambang negara makanya di lindungi,1840533655787368880,https://pbs.twimg.com/media/GYrjmyCbUAAlUks.jpg,,in,,0,0,0,https://x.com/doctor__fabre/status/1840533655787368880,1227492565525491713,doctor__fabre
1839982788956827848,Sun Sep 29 23:26:15 +0000 2024,0,segera ganji gibran alias fufufafa,1840533580495438078,,FayaAtika,in,,0,0,0,https://x.com/anshari_isnan/status/1840533580495438078,1567028123291766784,anshari_isnan
1840208452175507605,Sun Sep 29 23:25:36 +0000 2024,0,bisnis cuci mencuci sepeinya kalau kering di angkat kalau bersih bereskan,1840533418121339300,,StefanAntonio__,in,,0,0,0,https://x.com/candaankosong/status/1840533418121339300,1635046674870710273,candaankosong
1840532855480521166,Sun Sep 29 23:23:22 +0000 2024,1,sama halnya sepei timnas dunia politik indonesia potong generasi,1840532855480521166,,,in,beside my lady,0,0,0,https://x.com/gibranely/status/1840532855480521166,185616700,gibranely
1840532444837273609,Sun Sep 29 23:21:44 +0000 2024,0,akang raffi temennya mas  teh mau jadi minister naon nyak,1840532444837273609,,,in,Indonesia.,0,0,0,https://x.com/K7_m0en/status/1840532444837273609,3299145104,K7_m0en
1840232905207099405,Sun Sep 29 23:21:27 +0000 2024,7,lo pantesnya ngajarin kaesang gibran ted    sama2 tololnya,1840532371852214637,,TeddGus,in,Jawa Barat,0,2,0,https://x.com/Shifa_M3/status/1840532371852214637,1828004500663332864,Shifa_M3
1840395036837703911,Sun Sep 29 23:21:24 +0000 2024,0, pemerhati hukum  gibran sekarang jabatannya apa  tanggal 20 oktober dia jabatannya apa,1840532358942113920,,SammiSoh,in,Jakarta Capital Region,0,0,0,https://x.com/sendy82/status/1840532358942113920,81138905,sendy82
1840526768354336958,Sun Sep 29 23:20:42 +0000 2024,0,tidak benar prabowo gibran sering jalan bersama adakan peemuan membahas persiapan susunan kabinet  iya engga,1840532183171420326,,JamesPepen,in,"Bima Sakti, Bumi, Indonesia",0,1,0,https://x.com/abu_waras/status/1840532183171420326,2905814730,abu_waras
1839990276825235607,Sun Sep 29 23:20:01 +0000 2024,0,nunggu si  selesai hapus hapus post bukti akun fufufafa baru   gerak terus bilang informasi fufufafa yg beredar hoax,1840532010663837712,,dipejet,in,,0,0,0,https://x.com/waluhrebus/status/1840532010663837712,934050830600232960,waluhrebus
1840208452175507605,Sun Sep 29 23:19:32 +0000 2024,0,orang dungu otj dipantat,1840531888688992519,,StefanAntonio__,in,,0,0,0,https://x.com/MbahJack2323/status/1840531888688992519,1673187405258694656,MbahJack2323
1792433563880902853,Sun Sep 29 23:17:31 +0000 2024,0,selamat pagi pak  selamat pagi pak  selamat pagi  selamat pagi,1840531382982107241,https://pbs.twimg.com/media/GYrhie3bsAAdA4j.jpg,ferrykoto,in,Indonesia ,0,0,0,https://x.com/MangDjanaBdg/status/1840531382982107241,841187770726932482,MangDjanaBdg
1839862694910018047,Sun Sep 29 23:15:48 +0000 2024,0,gibran ikuti gaya bpkne asal mangap dulu bpkne jg bilang 10 jt tp blas gak da apa malah yg meledak tka china,1840530951849517421,,akbarfaizal68,in,,0,0,0,https://x.com/adjatajah/status/1840530951849517421,791739636,adjatajah
1840368378428772770,Sun Sep 29 23:15:02 +0000 2024,0,sebenernya bentuk kejengkelan gibran isu private jet olah tegar menghadapi isu tsb padahal jengkel mangkanya bilang gitu acara psi fakta psikologis,1840530755979825331,,BangPino__,in,,0,0,0,https://x.com/NandaJuand87035/status/1840530755979825331,1707654484523147264,NandaJuand87035
1840202769774588300,Sun Sep 29 23:13:29 +0000 2024,0,diskusi utk menggagalkan pelantikan gibran dg bermacam cara  lain lewat jalur hukum lewat kerusuhan provokasi rakyat adu domba ps cv gibran sdh dilakukan ttp gagal  adu domba ps vc jkw sdh lebih gagal   jalan terakhir menggagalkan pelantikan gibran,1840530365645287616,,jojo_botak,in,,0,0,0,https://x.com/nalarto/status/1840530365645287616,1315865946850959360,nalarto
